ticker,name,cap,sector,exchange,cur,rs,trend_ok,pattern_ok,signal,score,grade,pivot,cup_depth,handle_depth,vol_ratio,cup_days,handle_days,reason,pct_from_pivot,safety,lgbm_score
ACET,Adicet Bio  Inc. - Common Stock,SmallCap,기타,NASDAQ,7.0,-38.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACFN,Acorn Energy  Inc. - Common Stock,SmallCap,기타,NASDAQ,18.89,-7.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACGL,Arch Capital,LargeCap,금융,NASDAQ,96.2,-3.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACHC,Acadia Hlthcre,MidCap,헬스케어,NASDAQ,26.56,40.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACHR,Archer Aviation,MidCap,산업,NYSE,5.67,-47.5,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACHV,Achieve Life Sciences  Inc.  - Common Shares,SmallCap,기타,NASDAQ,3.61,0.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACI,Albertsons,LargeCap,필수소비재,NYSE,16.34,-21.0,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACIC,American Coastal Insurance,SmallCap,금융,NASDAQ,11.62,-5.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACIU,AC Immune SA - Common Stock,SmallCap,기타,NASDAQ,3.19,15.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACIW,ACI Worldwide,MidCap,기술,NASDAQ,41.45,-21.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACLS,Axcelis Tech,SmallCap,기술,NASDAQ,113.06,44.6,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ACLX,Arcellx,MidCap,헬스케어,NASDAQ,114.89,58.7,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ACM,AECOM Technology,LargeCap,산업,NYSE,85.14,-28.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACMR,ACM 리서치,SmallCap,기술,NASDAQ,50.75,43.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACN,액센츄어,MegaCap,기술,NYSE,190.37,-39.0,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACNB,ACNB Corp,SmallCap,금융,NASDAQ,51.15,7.3,True,False,False,40,D,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ACNT,Ascent Industries Co. - Common Stock,SmallCap,기타,NASDAQ,13.73,-9.9,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACOG,Alpha Cognition Inc. - Common Stock,SmallCap,기타,NASDAQ,6.49,-5.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACON,Aclarion  Inc. - Common Stock,SmallCap,기타,NASDAQ,3.17,-56.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACRS,Aclaris Therapeutics  Inc. - Common Stock,SmallCap,기타,NASDAQ,3.92,109.3,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ACRV,Acrivon Therapeutics  Inc. - Common Stock,SmallCap,기타,NASDAQ,1.64,-6.3,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACT,이넥트,MidCap,금융,NASDAQ,42.0,6.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACTG,Acacia Research,SmallCap,산업,NASDAQ,4.95,32.5,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ACTU,Actuate Therapeutics  Inc. - Common stock,SmallCap,기타,NASDAQ,2.08,-76.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACVA,Acv 옥션,MidCap,기술,NASDAQ,4.66,-64.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ACXP,Acurx Pharmaceuticals  Inc. - Common Stock,SmallCap,기타,NASDAQ,2.78,-46.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADBE,어도비 시스템즈,MegaCap,기술,NASDAQ,235.72,-38.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADC,Agree Realty,MidCap,부동산,NYSE,77.8,-1.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADEA,Adeia,SmallCap,기술,NASDAQ,27.3,68.5,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ADGM,Adagio Medical Holdings  Inc - Common Stock,SmallCap,기타,NASDAQ,1.63,47.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADI,Analog Devices  Inc. - Common Stock,SmallCap,기타,NASDAQ,348.6,35.4,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ADIL,Adial Pharmaceuticals  Inc - Common Stock,SmallCap,기타,NASDAQ,1.58,-89.5,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADM,ADM,LargeCap,필수소비재,NYSE,68.84,12.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADMA,ADMA Biologics Inc,MidCap,헬스케어,NASDAQ,10.49,-48.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADNT,Adient,SmallCap,소비순환재,NYSE,20.53,5.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADP,Automatic Data Processing  Inc. - Common Stock,SmallCap,기타,NASDAQ,195.08,-39.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADPT,Adaptive Biotechnologies,SmallCap,헬스케어,NASDAQ,14.53,4.5,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADSE,Ads Tec Energy,SmallCap,산업,NASDAQ,11.3,-12.5,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADSK,오토데스크,LargeCap,기술,NASDAQ,228.59,-27.2,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADT,에이디티시큐리티,MidCap,기술,NYSE,6.98,-24.1,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADTN,ADTRAN Inc,SmallCap,기술,NASDAQ,15.3,68.9,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
ADUR,Aduro Clean Technologies Inc. - Common Stock,SmallCap,기타,NASDAQ,11.01,8.4,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADUS,Addus HomeCare Corporation - Common Stock,SmallCap,기타,NASDAQ,93.23,-23.2,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADV,Advantage Solutions,SmallCap,소비순환재,NASDAQ,27.91,-5.2,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
ADVB,Advanced Biomed Inc. - Common Stock,SmallCap,기타,NASDAQ,6.31,-44.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AEBI,Aebi Schmidt Holding AG - Common Stock,SmallCap,기타,NASDAQ,12.34,-9.6,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AEC,Anfield Energy Inc. - Common Shares,SmallCap,기타,NASDAQ,5.63,-23.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AEE,애머렌,LargeCap,유틸리티,NYSE,111.86,2.7,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,SmallCap,기타,NASDAQ,0.91,-101.8,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
AEHR,Aehr Test Systems,SmallCap,기술,NASDAQ,74.38,340.5,True,False,False,64,C,0.0,0.0,0.0,0.0,0,0,패턴 미감지,0.0,,
AEI,Alset Inc. - Common Stock,SmallCap,기타,NASDAQ,1.75,-4.0,False,False,False,0,D,0.0,0.0,0.0,0.0,0,0,트렌드 미통과,0.0,,
